number;name;address;note;coordinates;lat;lon
1;пр.Ветеранов-1;г. Санкт-Петербург, бульвар Новаторов, д.98 в;-;[59.84101, 30.253126];59.84101;30.253126
2;пр.Ветеранов-2;г. Санкт-Петербург, бульвар Новаторов, д.108 а;-;[59.841515, 30.250565];59.841515;30.250565
3;Ленинский пр.-1;г. Санкт-Петербург, Ленинский пр., д.127;-;[59.85131, 30.265657];59.85131;30.265657
4;Ленинский пр.-2;г. Санкт-Петербург, бульвар Новаторов, д.10;-;[59.849537, 30.269468];59.849537;30.269468
5;Автово;г. Санкт-Петербург, пр.Стачек, д.90 корпус 2;-;[59.867313, 30.261372];59.867313;30.261372
6;Кировский з-д;г. Санкт-Петербург, пр.Стачек, д.70;-;[59.879715, 30.26201];59.879715;30.26201
7;Нарвская;г. Санкт-Петербург, пл. Стачек, д.2;-;[59.901165, 30.274897];59.901165;30.274897
8;Балтийская;г. Санкт-Петербург, пл.Балтийского вокзала, д.1;-;[59.907272, 30.299648];59.907272;30.299648
9;Пушкинская;г. Санкт-Петербург, Загородный проспект, 52А;-;[59.920574, 30.32975];59.920574;30.32975
10;пл.Восстания-1;г. Санкт-Петербург, пл.Восстания, д.2;-;[59.931595, 30.360506];59.931595;30.360506
11;пл.Восстания-2;г. Санкт-Петербург, Невский проспект, д.85;-;[59.92773, 30.366287];59.92773;30.366287
12;Чернышевская;г. Санкт-Петербург, пр.Чернышевского, д.20;-;[59.94661, 30.359482];59.94661;30.359482
13;пл.Ленина-1;г. Санкт-Петербург, пл. Ленина, д.6;-;[59.95642, 30.355772];59.95642;30.355772
14;пл.Ленина-2;г. Санкт-Петербург, ул. Академика Лебедева, д.31;-;[59.95873, 30.353624];59.95873;30.353624
15;Выборгская;г. Санкт-Петербург, ул.Смолячкова, д.21;-;[59.971027, 30.347334];59.971027;30.347334
16;Лесная;г. Санкт-Петербург, ул. Кантемировская, д.25;-;[59.985115, 30.343266];59.985115;30.343266
17;пл.Мужества;г. Санкт-Петербург, ул.Политехническая, д.17, к.1;-;[59.99955, 30.366089];59.99955;30.366089
18;Политехническая;г. Санкт-Петербург, ул. Политехническая , д.29 литер Б;-;[60.006294, 30.37881];60.006294;30.37881
19;Академическая;г. Санкт-Петербург, пр. Науки, д.19, корпус 1;-;[60.012733, 30.39594];60.012733;30.39594
20;Гражданский;г. Санкт-Петербург, Гражданский проспект, 116 литер А;-;[60.034954, 30.418207];60.034954;30.418207
21;Девяткино;г. Санкт-Петербург, ул. Вокзальная, д.3 а;-;[59.995922, 30.132483];59.995922;30.132483
22;Маяковская;г. Санкт-Петербург, улица Марата, д. 1/71;-;[59.931313, 30.354858];59.931313;30.354858
23;3венигородская;г. Санкт-Петербург, ул.Звенигородская д.1, корпус 2;-;[59.92239, 30.335726];59.92239;30.335726
24;Купчино;г. Санкт-Петербург, Витебский пр. , д.108;-;[59.826824, 30.3758];59.826824;30.3758
25;Звездная;г. Санкт-Петербург, Звёздная улица, д.3 корпус 1;-;[59.833218, 30.349394];59.833218;30.349394
26;Московская-1;г. Санкт-Петербург, Московский пр., д.197;-;[59.885094, 30.319515];59.885094;30.319515
27;Московская-2;г. Санкт-Петербург, Московский пр. , д.195;-;[59.85007, 30.32091];59.85007;30.32091
28;Парк Победы;г. Санкт-Петербург, Московский пр. , д. 188;-;[59.885094, 30.319515];59.885094;30.319515
29;Электросила;г. Санкт-Петербург, Московский пр. , д.141;-;[59.885094, 30.319515];59.885094;30.319515
30;Московские Ворота;г. Санкт-Петербург, Московский пр. , д.103;-;[59.885094, 30.319515];59.885094;30.319515
31;Фрунзенская;г. Санкт-Петербург, Московский пр., д.71;-;[59.906208, 30.317537];59.906208;30.317537
32;Технологический Институт;г. Санкт-Петербург, Московский пр., д. 28;-;[59.916313, 30.318892];59.916313;30.318892
33;Сенная;г. Санкт-Петербург, Сенная пл., 2 а;-;[59.927044, 30.318687];59.927044;30.318687
34;Невский пр.-1;г. Санкт-Петербург, Невский проспект, д. 30, литера А;-;[59.935795, 30.32801];59.935795;30.32801
35;Невский пр. -2;г. Санкт-Петербург, Невский пр., д.30;-;[59.935795, 30.32801];59.935795;30.32801
36;Горьковская ;г. Санкт-Петербург, Александровский парк, д.4 литер А;-;[59.67781, 30.27951];59.67781;30.27951
37;Петроградская;г. Санкт-Петербург, Каменноостровский пр., д.37;-;[59.965427, 30.312044];59.965427;30.312044
38;Пионерская ;г. Санкт-Петербург, Коломяжский пр.4;-;[60.004547, 30.297539];60.004547;30.297539
39;Удельная ;г. Санкт-Петербург, ул. Елецкая, д.15 литер А;-;[60.017307, 30.318192];60.017307;30.318192
40;Озерки ;г. Санкт-Петербург, Выборгское шоссе, д.1;-;[60.072754, 30.283117];60.072754;30.283117
41;пр.Просвещения ;г. Санкт-Петербург, пр. Энгельса, д.140;-;[60.051468, 30.332497];60.051468;30.332497
42;Парнас ;г. Санкт-Петербург, пр. Энгельса, д.162;-;[60.049812, 30.332853];60.049812;30.332853
43;Черная речка;г. Санкт-Петербург, ул. Савушкина, д. 2;-;[59.985455, 30.30086];59.985455;30.30086
44;Гостиный двор ;г. Санкт-Петербург, Невский пр., д.35;-;[59.933, 30.332005];59.933;30.332005
45;Спасская ;г. Санкт-Петербург, Сенная площадь, 2 Б;-;[59.927044, 30.318687];59.927044;30.318687
46;Садовая;г. Санкт-Петербург, Сенная площадь, д. 7, литера А, сооружение 3;-;[59.927044, 30.318687];59.927044;30.318687
47;Владимирская ;г. Санкт-Петербург, ул.Большая Московская, д.2;-;[59.92745, 30.348333];59.92745;30.348333
48;Беговая;г. Санкт-Петербург, Туристская улица, д.8, сооружение 1;-;[59.987522, 30.19836];59.987522;30.19836
49;Новокрестовская;г. Санкт-Петербург, Южная дорога, д.32;-;[60.086098, 30.329357];60.086098;30.329357
50;Приморская ;г. Санкт-Петербург, ул. Одоевского, д. 29;-;[59.948467, 30.234108];59.948467;30.234108
51;Василеостровская;г. Санкт-Петербург, Средний проспект В.О. ;-;[59.938866, 30.263905];59.938866;30.263905
52;Пл.Ал.Невского-1 ;г. Санкт-Петербург, пл. Александра Невского , д. 2;-;[59.923798, 30.386976];59.923798;30.386976
53;Елизаровская ;г. Санкт-Петербург, улица Бабушкина, д. 10;-;[59.896683, 30.423662];59.896683;30.423662
54;Ломоносовская ;г. Санкт-Петербург, ул. Бабушкина, д.69 А;-;[59.87732, 30.44168];59.87732;30.44168
55;Пролетарская ;г. Санкт-Петербург, проспект Обуховской Обороны, д.114 корпус 1;-;[59.888405, 30.44169];59.888405;30.44169
56;Обухово ;г. Санкт-Петербург, улица Грибакиных, д. 27;-;[59.85659, 30.46627];59.85659;30.46627
57;Рыбацкое ;г. Санкт-Петербург, Тепловозная улица, д.31;-;[59.830894, 30.50019];59.830894;30.50019
58;ул.Дыбенко ;г. Санкт-Петербург, ул. Дыбенко, д.26 литер А;-;[59.90535, 30.476528];59.90535;30.476528
59;пр.Большевиков ;г. Санкт-Петербург, ул. Коллонтай, д.20;-;[59.91952, 30.46981];59.91952;30.46981
60;Ладожская ;г. Санкт-Петербург, Заневский пр., д.69;-;[59.932495, 30.439297];59.932495;30.439297
61;Новочеркасская ;г. Санкт-Петербург, Новочеркасский проспект, д. 28/19;-;[59.928646, 30.413431];59.928646;30.413431
62;Пл.Ал.Невского-2 ;г. Санкт-Петербург, Чернорецкий пер., д.3;-;[59.92356, 30.383354];59.92356;30.383354
63;Лиговский пр.;г. Санкт-Петербург, Лиговский пр., д.88;-;[59.911552, 30.348083];59.911552;30.348083
64;Достоевская ;г. Санкт-Петербург, Владимирский пр., д.23;-;[59.928215, 30.346233];59.928215;30.346233
65;Шушары;г.Санкт-Петербург, Софийская ул., д 113;-;[59.809704, 30.465376];59.809704;30.465376
66;Дунайская-1;г.Санкт-Петербург, ул. Бухарестская, д.83;-;[59.862476, 30.389177];59.862476;30.389177
67;Дунайская-2;г.Санкт-Петербург, ул. Бухарестская, д.83;-;[59.862476, 30.389177];59.862476;30.389177
68;Проспект Славы-1;г.Санкт-Петербург, ул. Бухарестская, д.100;-;[59.857956, 30.396097];59.857956;30.396097
69;Проспект Славы-2;г.Санкт-Петербург, ул. Бухарестская, д.100;-;[59.857956, 30.396097];59.857956;30.396097
70;Международная ;г. Санкт-Петербург, ул. Белы Куна, д.3;-;[59.870155, 30.379152];59.870155;30.379152
71;Бухарестская ;г. Санкт-Петербург, ул. Бухарестская, д.30;-;[59.8837, 30.369324];59.8837;30.369324
72;Волковская ;г. Санкт-Петербург, Волковский пр., д.32;-;[59.896095, 30.357105];59.896095;30.357105
73;Обводный канал;г. Санкт-Петербург, Лиговский пр., д.153;-;[59.914692, 30.349598];59.914692;30.349598
74;Адмиралтейская ;г. Санкт-Петербург, Малая морская ул., 4/1;-;[59.93594, 30.314856];59.93594;30.314856
75;Спортивная ;г. Санкт-Петербург, пр. Добролюбова, д.20 корпус 1, литер В;-;[59.951553, 30.29001];59.951553;30.29001
76;Спортивная-2;г. Санкт-Петербург, набережная Макарова;-;[59.94588, 30.291922];59.94588;30.291922
77;Чкаловская;г. Санкт-Петербург, ул. Большая Зеленина, д. 12;-;[59.960934, 30.29207];59.960934;30.29207
78;Крестовский остров ;г. Санкт-Петербург, Рюхина улица, д.8;-;[59.97179, 30.259415];59.97179;30.259415
79;Старая деревня;г. Санкт-Петербург, Торфяная дорога, д.4;-;[60.203392, 29.689419];60.203392;29.689419
80;Комендантский пр. ;г. Санкт-Петербург, Комендантский пр., 13 литер а;-;[60.00951, 30.258827];60.00951;30.258827
